Designator,Mid X,Mid Y,Layer,Rotation
BUD, 2.67,54.36,Top,270.0
BUP, 2.67,71.37,Top,270.0
BUS,59.35,54.76,Top,90.0
C1,35.75,31.00,Top,0.0
C2,31.44,35.43,Top,180.0
C3,52.11,13.35,Top,180.0
C4,35.80,29.24,Top,0.0
C5,34.00,12.87,Top,90.0
C6,33.58,39.79,Top,90.0
C7,19.94,18.87,Top,90.0
C8,32.74,12.88,Top,90.0
C9,31.48,12.88,Top,90.0
C10,30.22,12.86,Top,90.0
C11,28.96,12.87,Top,90.0
C12,27.72,12.86,Top,90.0
C13,26.45,12.87,Top,90.0
C14,25.20,12.86,Top,90.0
C15,23.95,12.86,Top,90.0
C16,30.27,15.95,Top,270.0
C17,35.28,12.87,Top,90.0
C18,30.21,18.75,Top,90.0
C19,47.68,21.41,Top,0.0
C20,47.68,22.87,Top,180.0
C21,45.62,29.91,Top,0.0
C22,39.50,24.64,Top,90.0
C23,45.76,21.41,Top,0.0
C24,22.48,44.20,Top,270.0
C25,44.70,44.17,Top,0.0
C26,37.59,28.32,Top,90.0
C27,24.79,88.31,Top,0.0
C29,25.98,92.53,Top,180.0
C30,28.48,91.97,Top,270.0
C40,45.75,22.86,Top,0.0
C42,23.74,39.69,Top,270.0
C43,18.61,36.26,Top,90.0
C44,14.80,36.26,Top,90.0
C45, 8.06,11.45,Top,180.0
C46,10.65, 7.94,Top,270.0
C47, 8.04,12.93,Top,180.0
C48, 9.26, 7.94,Top,270.0
C49,20.46,11.63,Top,90.0
C50,58.44,91.86,Top,180.0
C53,37.97,24.64,Top,90.0
C58, 8.06, 9.92,Top,180.0
C59, 9.49,16.47,Top,90.0
C60,10.76,16.47,Top,90.0
C61,12.01,16.47,Top,90.0
C62, 7.73,17.69,Top,0.0
C63,49.92,44.44,Top,180.0
C64,49.73,22.87,Top,180.0
C65, 3.27,12.13,Top,0.0
C66, 3.26,17.68,Top,0.0
C67, 3.29,19.34,Top,0.0
C68, 3.29,20.59,Top,0.0
C69, 7.73,15.79,Top,0.0
C71,14.36,21.30,Top,0.0
C72,21.63,32.91,Top,0.0
C73,18.58,37.73,Top,0.0
C74,19.35,25.27,Top,270.0
C75,19.86,36.26,Top,90.0
C76,21.12,36.25,Top,90.0
C77,20.61,25.27,Top,270.0
C79,23.81,21.91,Top,0.0
C80,21.65,28.26,Top,0.0
C82,12.64,23.48,Top,90.0
