Designator,Mid X,Mid Y,Layer,Rotation
U5,17.78,20.07,Top,270.0
U6,21.84,44.20,Top,0.0
U7, 7.87,19.56,Top,270.0
U9,24.89,30.85,Top,270.0
U10, 4.19,10.26,Top,270.0
U11,24.26,24.71,Top,0.0
U12,58.65,88.70,Top,0.0
U13,56.64,11.18,Top,270.0
U14,25.98,90.55,Top,90.0
U15,19.96,92.66,Top,180.0
U16,16.26,39.88,Top,0.0
U17,32.11,12.40,Top,270.0
U18,32.97,12.40,Top,270.0
U19,31.24,12.40,Top,270.0
U20,30.38,12.40,Top,270.0
U21,29.51,12.40,Top,270.0
U22,28.65,12.40,Top,270.0
U23,34.70,12.40,Top,270.0
U24,33.83,12.40,Top,270.0
U25,20.07,87.63,Top,0.0
USB2.0MUX,35.89,87.57,Top,90.0
USB_BOOT_N,13.50,39.39,Top,0.0
Y1,15.23,24.12,Top,0.0
